cement,slag,flyash,water,Strength,superplasticizer,coarseaggregate,fineaggregate,age
540,0,0,162,79.99,2.5,1040,676,28
540,0,0,162,61.89,2.5,1055,676,28
332.5,142.5,0,228,40.27,0,932,594,270
332.5,142.5,0,228,41.05,0,932,594,365
198.6,132.4,0,192,44.3,0,978.4,825.5,360
266,114,0,228,47.03,0,932,670,90
380,95,0,228,43.7,0,932,594,365
380,95,0,228,36.45,0,932,594,28
266,114,0,228,45.85,0,932,670,28
475,0,0,228,39.29,0,932,594,28
198.6,132.4,0,192,38.07,0,978.4,825.5,90
198.6,132.4,0,192,28.02,0,978.4,825.5,28
427.5,47.5,0,228,43.01,0,932,594,270
190,190,0,228,42.33,0,932,670,90
304,76,0,228,47.81,0,932,670,28
380,0,0,228,52.91,0,932,670,90
139.6,209.4,0,192,39.36,0,1047,806.9,90
342,38,0,228,56.14,0,932,670,365
380,95,0,228,40.56,0,932,594,90
475,0,0,228,42.62,0,932,594,180
427.5,47.5,0,228,41.84,0,932,594,180
139.6,209.4,0,192,28.24,0,1047,806.9,28
139.6,209.4,0,192,8.06,0,1047,806.9,3
139.6,209.4,0,192,44.21,0,1047,806.9,180
380,0,0,228,52.52,0,932,670,365
380,0,0,228,53.3,0,932,670,270
380,95,0,228,41.15,0,932,594,270
342,38,0,228,52.12,0,932,670,180
427.5,47.5,0,228,37.43,0,932,594,28
475,0,0,228,38.6,0,932,594,7
304,76,0,228,55.26,0,932,670,365
266,114,0,228,52.91,0,932,670,365
198.6,132.4,0,192,41.72,0,978.4,825.5,180
475,0,0,228,42.13,0,932,594,270
190,190,0,228,53.69,0,932,670,365
237.5,237.5,0,228,38.41,0,932,594,270
237.5,237.5,0,228,30.08,0,932,594,28
332.5,142.5,0,228,37.72,0,932,594,90
475,0,0,228,42.23,0,932,594,90
237.5,237.5,0,228,36.25,0,932,594,180
342,38,0,228,50.46,0,932,670,90
427.5,47.5,0,228,43.7,0,932,594,365
237.5,237.5,0,228,39,0,932,594,365
380,0,0,228,53.1,0,932,670,180
427.5,47.5,0,228,41.54,0,932,594,90
427.5,47.5,0,228,35.08,0,932,594,7
349,0,0,192,15.05,0,1047,806.9,3
380,95,0,228,40.76,0,932,594,180
237.5,237.5,0,228,26.26,0,932,594,7
380,95,0,228,32.82,0,932,594,7
332.5,142.5,0,228,39.78,0,932,594,180
190,190,0,228,46.93,0,932,670,180
237.5,237.5,0,228,33.12,0,932,594,90
304,76,0,228,49.19,0,932,670,90
139.6,209.4,0,192,14.59,0,1047,806.9,7
198.6,132.4,0,192,14.64,0,978.4,825.5,7
475,0,0,228,41.93,0,932,594,365
198.6,132.4,0,192,9.13,0,978.4,825.5,3
304,76,0,228,50.95,0,932,670,180
332.5,142.5,0,228,33.02,0,932,594,28
304,76,0,228,54.38,0,932,670,270
266,114,0,228,51.73,0,932,670,270
310,0,0,192,9.87,0,971,850.6,3
190,190,0,228,50.66,0,932,670,270
266,114,0,228,48.7,0,932,670,180
342,38,0,228,55.06,0,932,670,270
139.6,209.4,0,192,44.7,0,1047,806.9,360
332.5,142.5,0,228,30.28,0,932,594,7
190,190,0,228,40.86,0,932,670,28
485,0,0,146,71.99,0,1120,800,28
374,189.2,0,170.1,34.4,10.1,926.1,756.7,3
313.3,262.2,0,175.5,28.8,8.6,1046.9,611.8,3
425,106.3,0,153.5,33.4,16.5,852.1,887.1,3
425,106.3,0,151.4,36.3,18.6,936,803.7,3
375,93.8,0,126.6,29,23.4,852.1,992.6,3
475,118.8,0,181.1,37.8,8.9,852.1,781.5,3
469,117.2,0,137.8,40.2,32.2,852.1,840.5,3
425,106.3,0,153.5,33.4,16.5,852.1,887.1,3
388.6,97.1,0,157.9,28.1,12.1,852.1,925.7,3
531.3,0,0,141.8,41.3,28.2,852.1,893.7,3
425,106.3,0,153.5,33.4,16.5,852.1,887.1,3
318.8,212.5,0,155.7,25.2,14.3,852.1,880.4,3
401.8,94.7,0,147.4,41.1,11.4,946.8,852.1,3
362.6,189,0,164.9,35.3,11.6,944.7,755.8,3
323.7,282.8,0,183.8,28.3,10.3,942.7,659.9,3
379.5,151.2,0,153.9,28.6,15.9,1134.3,605,3
362.6,189,0,164.9,35.3,11.6,944.7,755.8,3
286.3,200.9,0,144.7,24.4,11.2,1004.6,803.7,3
362.6,189,0,164.9,35.3,11.6,944.7,755.8,3
439,177,0,186,39.3,11.1,884.9,707.9,3
389.9,189,0,145.9,40.6,22,944.7,755.8,3
362.6,189,0,164.9,35.3,11.6,944.7,755.8,3
337.9,189,0,174.9,24.1,9.5,944.7,755.8,3
374,189.2,0,170.1,46.2,10.1,926.1,756.7,7
313.3,262.2,0,175.5,42.8,8.6,1046.9,611.8,7
425,106.3,0,153.5,49.2,16.5,852.1,887.1,7
425,106.3,0,151.4,46.8,18.6,936,803.7,7
375,93.8,0,126.6,45.7,23.4,852.1,992.6,7
475,118.8,0,181.1,55.6,8.9,852.1,781.5,7
469,117.2,0,137.8,54.9,32.2,852.1,840.5,7
425,106.3,0,153.5,49.2,16.5,852.1,887.1,7
388.6,97.1,0,157.9,34.9,12.1,852.1,925.7,7
531.3,0,0,141.8,46.9,28.2,852.1,893.7,7
425,106.3,0,153.5,49.2,16.5,852.1,887.1,7
318.8,212.5,0,155.7,33.4,14.3,852.1,880.4,7
401.8,94.7,0,147.4,54.1,11.4,946.8,852.1,7
362.6,189,0,164.9,55.9,11.6,944.7,755.8,7
323.7,282.8,0,183.8,49.8,10.3,942.7,659.9,7
379.5,151.2,0,153.9,47.1,15.9,1134.3,605,7
362.6,189,0,164.9,55.9,11.6,944.7,755.8,7
286.3,200.9,0,144.7,38,11.2,1004.6,803.7,7
362.6,189,0,164.9,55.9,11.6,944.7,755.8,7
439,177,0,186,56.1,11.1,884.9,707.9,7
389.9,189,0,145.9,59.09,22,944.7,755.8,7
362.6,189,0,164.9,22.9,11.6,944.7,755.8,7
337.9,189,0,174.9,35.1,9.5,944.7,755.8,7
374,189.2,0,170.1,61.09,10.1,926.1,756.7,28
313.3,262.2,0,175.5,59.8,8.6,1046.9,611.8,28
425,106.3,0,153.5,60.29,16.5,852.1,887.1,28
425,106.3,0,151.4,61.8,18.6,936,803.7,28
375,93.8,0,126.6,56.7,23.4,852.1,992.6,28
475,118.8,0,181.1,68.3,8.9,852.1,781.5,28
469,117.2,0,137.8,66.9,32.2,852.1,840.5,28
425,106.3,0,153.5,60.29,16.5,852.1,887.1,28
388.6,97.1,0,157.9,50.7,12.1,852.1,925.7,28
531.3,0,0,141.8,56.4,28.2,852.1,893.7,28
425,106.3,0,153.5,60.29,16.5,852.1,887.1,28
318.8,212.5,0,155.7,55.5,14.3,852.1,880.4,28
401.8,94.7,0,147.4,68.5,11.4,946.8,852.1,28
362.6,189,0,164.9,71.3,11.6,944.7,755.8,28
323.7,282.8,0,183.8,74.7,10.3,942.7,659.9,28
379.5,151.2,0,153.9,52.2,15.9,1134.3,605,28
362.6,189,0,164.9,71.3,11.6,944.7,755.8,28
286.3,200.9,0,144.7,67.7,11.2,1004.6,803.7,28
362.6,189,0,164.9,71.3,11.6,944.7,755.8,28
439,177,0,186,66,11.1,884.9,707.9,28
389.9,189,0,145.9,74.5,22,944.7,755.8,28
362.6,189,0,164.9,71.3,11.6,944.7,755.8,28
337.9,189,0,174.9,49.9,9.5,944.7,755.8,28
374,189.2,0,170.1,63.4,10.1,926.1,756.7,56
313.3,262.2,0,175.5,64.9,8.6,1046.9,611.8,56
425,106.3,0,153.5,64.3,16.5,852.1,887.1,56
425,106.3,0,151.4,64.9,18.6,936,803.7,56
375,93.8,0,126.6,60.2,23.4,852.1,992.6,56
475,118.8,0,181.1,72.3,8.9,852.1,781.5,56
469,117.2,0,137.8,69.3,32.2,852.1,840.5,56
425,106.3,0,153.5,64.3,16.5,852.1,887.1,56
388.6,97.1,0,157.9,55.2,12.1,852.1,925.7,56
531.3,0,0,141.8,58.8,28.2,852.1,893.7,56
425,106.3,0,153.5,64.3,16.5,852.1,887.1,56
318.8,212.5,0,155.7,66.1,14.3,852.1,880.4,56
401.8,94.7,0,147.4,73.7,11.4,946.8,852.1,56
362.6,189,0,164.9,77.3,11.6,944.7,755.8,56
323.7,282.8,0,183.8,80.2,10.3,942.7,659.9,56
379.5,151.2,0,153.9,54.9,15.9,1134.3,605,56
362.6,189,0,164.9,77.3,11.6,944.7,755.8,56
286.3,200.9,0,144.7,72.99,11.2,1004.6,803.7,56
362.6,189,0,164.9,77.3,11.6,944.7,755.8,56
439,177,0,186,71.7,11.1,884.9,707.9,56
389.9,189,0,145.9,79.4,22,944.7,755.8,56
362.6,189,0,164.9,77.3,11.6,944.7,755.8,56
337.9,189,0,174.9,59.89,9.5,944.7,755.8,56
374,189.2,0,170.1,64.9,10.1,926.1,756.7,91
313.3,262.2,0,175.5,66.6,8.6,1046.9,611.8,91
425,106.3,0,153.5,65.2,16.5,852.1,887.1,91
425,106.3,0,151.4,66.7,18.6,936,803.7,91
375,93.8,0,126.6,62.5,23.4,852.1,992.6,91
475,118.8,0,181.1,74.19,8.9,852.1,781.5,91
469,117.2,0,137.8,70.7,32.2,852.1,840.5,91
425,106.3,0,153.5,65.2,16.5,852.1,887.1,91
388.6,97.1,0,157.9,57.6,12.1,852.1,925.7,91
531.3,0,0,141.8,59.2,28.2,852.1,893.7,91
425,106.3,0,153.5,65.2,16.5,852.1,887.1,91
318.8,212.5,0,155.7,68.1,14.3,852.1,880.4,91
401.8,94.7,0,147.4,75.5,11.4,946.8,852.1,91
362.6,189,0,164.9,79.3,11.6,944.7,755.8,91
379.5,151.2,0,153.9,56.5,15.9,1134.3,605,91
362.6,189,0,164.9,79.3,11.6,944.7,755.8,91
286.3,200.9,0,144.7,76.8,11.2,1004.6,803.7,91
362.6,189,0,164.9,79.3,11.6,944.7,755.8,91
439,177,0,186,73.3,11.1,884.9,707.9,91
389.9,189,0,145.9,82.6,22,944.7,755.8,91
362.6,189,0,164.9,79.3,11.6,944.7,755.8,91
337.9,189,0,174.9,67.8,9.5,944.7,755.8,91
222.4,0,96.7,189.3,11.58,4.5,967.1,870.3,3
222.4,0,96.7,189.3,24.45,4.5,967.1,870.3,14
222.4,0,96.7,189.3,24.89,4.5,967.1,870.3,28
222.4,0,96.7,189.3,29.45,4.5,967.1,870.3,56
222.4,0,96.7,189.3,40.71,4.5,967.1,870.3,100
233.8,0,94.6,197.9,10.38,4.6,947,852.2,3
233.8,0,94.6,197.9,22.14,4.6,947,852.2,14
233.8,0,94.6,197.9,22.84,4.6,947,852.2,28
233.8,0,94.6,197.9,27.66,4.6,947,852.2,56
233.8,0,94.6,197.9,34.56,4.6,947,852.2,100
194.7,0,100.5,165.6,12.45,7.5,1006.4,905.9,3
194.7,0,100.5,165.6,24.99,7.5,1006.4,905.9,14
194.7,0,100.5,165.6,25.72,7.5,1006.4,905.9,28
194.7,0,100.5,165.6,33.96,7.5,1006.4,905.9,56
194.7,0,100.5,165.6,37.34,7.5,1006.4,905.9,100
190.7,0,125.4,162.1,15.04,7.8,1090,804,3
190.7,0,125.4,162.1,21.06,7.8,1090,804,14
190.7,0,125.4,162.1,26.4,7.8,1090,804,28
190.7,0,125.4,162.1,35.34,7.8,1090,804,56
190.7,0,125.4,162.1,40.57,7.8,1090,804,100
212.1,0,121.6,180.3,12.47,5.7,1057.6,779.3,3
212.1,0,121.6,180.3,20.92,5.7,1057.6,779.3,14
212.1,0,121.6,180.3,24.9,5.7,1057.6,779.3,28
212.1,0,121.6,180.3,34.2,5.7,1057.6,779.3,56
212.1,0,121.6,180.3,39.61,5.7,1057.6,779.3,100
230,0,118.3,195.5,10.03,4.6,1029.4,758.6,3
230,0,118.3,195.5,20.08,4.6,1029.4,758.6,14
230,0,118.3,195.5,24.48,4.6,1029.4,758.6,28
230,0,118.3,195.5,31.54,4.6,1029.4,758.6,56
230,0,118.3,195.5,35.34,4.6,1029.4,758.6,100
190.3,0,125.2,161.9,9.45,9.9,1088.1,802.6,3
190.3,0,125.2,161.9,22.72,9.9,1088.1,802.6,14
190.3,0,125.2,161.9,28.47,9.9,1088.1,802.6,28
190.3,0,125.2,161.9,38.56,9.9,1088.1,802.6,56
190.3,0,125.2,161.9,40.39,9.9,1088.1,802.6,100
166.1,0,163.3,176.5,10.76,4.5,1058.6,780.1,3
166.1,0,163.3,176.5,25.48,4.5,1058.6,780.1,14
166.1,0,163.3,176.5,21.54,4.5,1058.6,780.1,28
166.1,0,163.3,176.5,28.63,4.5,1058.6,780.1,56
166.1,0,163.3,176.5,33.54,4.5,1058.6,780.1,100
168,42.1,163.8,121.8,7.75,5.7,1058.7,780.1,3
168,42.1,163.8,121.8,17.82,5.7,1058.7,780.1,14
168,42.1,163.8,121.8,24.24,5.7,1058.7,780.1,28
168,42.1,163.8,121.8,32.85,5.7,1058.7,780.1,56
168,42.1,163.8,121.8,39.23,5.7,1058.7,780.1,100
213.7,98.1,24.5,181.7,18,6.9,1065.8,785.4,3
213.7,98.1,24.5,181.7,30.39,6.9,1065.8,785.4,14
213.7,98.1,24.5,181.7,45.71,6.9,1065.8,785.4,28
213.7,98.1,24.5,181.7,50.77,6.9,1065.8,785.4,56
213.7,98.1,24.5,181.7,53.9,6.9,1065.8,785.4,100
213.8,98.1,24.5,181.7,13.18,6.7,1066,785.5,3
213.8,98.1,24.5,181.7,17.84,6.7,1066,785.5,14
213.8,98.1,24.5,181.7,40.23,6.7,1066,785.5,28
213.8,98.1,24.5,181.7,47.13,6.7,1066,785.5,56
213.8,98.1,24.5,181.7,49.97,6.7,1066,785.5,100
229.7,0,118.2,195.2,13.36,6.1,1028.1,757.6,3
229.7,0,118.2,195.2,22.32,6.1,1028.1,757.6,14
229.7,0,118.2,195.2,24.54,6.1,1028.1,757.6,28
229.7,0,118.2,195.2,31.35,6.1,1028.1,757.6,56
229.7,0,118.2,195.2,40.86,6.1,1028.1,757.6,100
238.1,0,94.1,186.7,19.93,7,949.9,847,3
238.1,0,94.1,186.7,25.69,7,949.9,847,14
238.1,0,94.1,186.7,30.23,7,949.9,847,28
238.1,0,94.1,186.7,39.59,7,949.9,847,56
238.1,0,94.1,186.7,44.3,7,949.9,847,100
250,0,95.7,187.4,13.82,5.5,956.9,861.2,3
250,0,95.7,187.4,24.92,5.5,956.9,861.2,14
250,0,95.7,187.4,29.22,5.5,956.9,861.2,28
250,0,95.7,187.4,38.33,5.5,956.9,861.2,56
250,0,95.7,187.4,42.35,5.5,956.9,861.2,100
212.5,0,100.4,159.3,13.54,8.7,1007.8,903.6,3
212.5,0,100.4,159.3,26.31,8.7,1007.8,903.6,14
212.5,0,100.4,159.3,31.64,8.7,1007.8,903.6,28
212.5,0,100.4,159.3,42.55,8.7,1007.8,903.6,56
212.5,0,100.4,159.3,42.92,8.7,1007.8,903.6,100
212.6,0,100.4,159.4,13.33,10.4,1003.8,903.8,3
212.6,0,100.4,159.4,25.37,10.4,1003.8,903.8,14
212.6,0,100.4,159.4,37.4,10.4,1003.8,903.8,28
212.6,0,100.4,159.4,44.4,10.4,1003.8,903.8,56
212.6,0,100.4,159.4,47.74,10.4,1003.8,903.8,100
212,0,124.8,159,19.52,7.8,1085.4,799.5,3
212,0,124.8,159,31.35,7.8,1085.4,799.5,14
212,0,124.8,159,38.5,7.8,1085.4,799.5,28
212,0,124.8,159,45.08,7.8,1085.4,799.5,56
212,0,124.8,159,47.82,7.8,1085.4,799.5,100
231.8,0,121.6,174,15.44,6.7,1056.4,778.5,3
231.8,0,121.6,174,26.77,6.7,1056.4,778.5,14
231.8,0,121.6,174,33.73,6.7,1056.4,778.5,28
231.8,0,121.6,174,42.7,6.7,1056.4,778.5,56
231.8,0,121.6,174,45.84,6.7,1056.4,778.5,100
251.4,0,118.3,188.5,17.22,5.8,1028.4,757.7,3
251.4,0,118.3,188.5,29.93,5.8,1028.4,757.7,14
251.4,0,118.3,188.5,29.65,5.8,1028.4,757.7,28
251.4,0,118.3,188.5,36.97,5.8,1028.4,757.7,56
251.4,0,118.3,188.5,43.58,5.8,1028.4,757.7,100
251.4,0,118.3,188.5,13.12,6.4,1028.4,757.7,3
251.4,0,118.3,188.5,24.43,6.4,1028.4,757.7,14
251.4,0,118.3,188.5,32.66,6.4,1028.4,757.7,28
251.4,0,118.3,188.5,36.64,6.4,1028.4,757.7,56
251.4,0,118.3,188.5,44.21,6.4,1028.4,757.7,100
181.4,0,167,169.6,13.62,7.6,1055.6,777.8,3
181.4,0,167,169.6,21.6,7.6,1055.6,777.8,14
181.4,0,167,169.6,27.77,7.6,1055.6,777.8,28
181.4,0,167,169.6,35.57,7.6,1055.6,777.8,56
181.4,0,167,169.6,45.37,7.6,1055.6,777.8,100
182,45.2,122,170.2,7.32,8.2,1059.4,780.7,3
182,45.2,122,170.2,21.5,8.2,1059.4,780.7,14
182,45.2,122,170.2,31.27,8.2,1059.4,780.7,28
182,45.2,122,170.2,43.5,8.2,1059.4,780.7,56
182,45.2,122,170.2,48.67,8.2,1059.4,780.7,100
168.9,42.2,124.3,158.3,7.4,10.8,1080.8,796.2,3
168.9,42.2,124.3,158.3,23.51,10.8,1080.8,796.2,14
168.9,42.2,124.3,158.3,31.12,10.8,1080.8,796.2,28
168.9,42.2,124.3,158.3,39.15,10.8,1080.8,796.2,56
168.9,42.2,124.3,158.3,48.15,10.8,1080.8,796.2,100
290.4,0,96.2,168.1,22.5,9.4,961.2,865,3
290.4,0,96.2,168.1,34.67,9.4,961.2,865,14
290.4,0,96.2,168.1,34.74,9.4,961.2,865,28
290.4,0,96.2,168.1,45.08,9.4,961.2,865,56
290.4,0,96.2,168.1,48.97,9.4,961.2,865,100
277.1,0,97.4,160.6,23.14,11.8,973.9,875.6,3
277.1,0,97.4,160.6,41.89,11.8,973.9,875.6,14
277.1,0,97.4,160.6,48.28,11.8,973.9,875.6,28
277.1,0,97.4,160.6,51.04,11.8,973.9,875.6,56
277.1,0,97.4,160.6,55.64,11.8,973.9,875.6,100
295.7,0,95.6,171.5,22.95,8.9,955.1,859.2,3
295.7,0,95.6,171.5,35.23,8.9,955.1,859.2,14
295.7,0,95.6,171.5,39.94,8.9,955.1,859.2,28
295.7,0,95.6,171.5,48.72,8.9,955.1,859.2,56
295.7,0,95.6,171.5,52.04,8.9,955.1,859.2,100
251.8,0,99.9,146.1,21.02,12.4,1006,899.8,3
251.8,0,99.9,146.1,33.36,12.4,1006,899.8,14
251.8,0,99.9,146.1,33.94,12.4,1006,899.8,28
251.8,0,99.9,146.1,44.14,12.4,1006,899.8,56
251.8,0,99.9,146.1,45.37,12.4,1006,899.8,100
249.1,0,98.8,158.1,15.36,12.8,987.8,889,3
